Longitude,Latitude,Year,Scientific.Name,Source
-170.68448017,-14.24576006,2006,Genus Tridacna,RAMP/NCRMP
-170.68439787,-14.24666787,2004,Genus Tridacna,RAMP/NCRMP
-170.68379767,-14.2443765,2006,Genus Tridacna,RAMP/NCRMP
-170.68363,-14.24517982,2004,Genus Tridacna,RAMP/NCRMP
-170.68317594,-14.24390594,2004,Genus Tridacna,RAMP/NCRMP
-170.68292058,-14.24369362,2008,Genus Tridacna,RAMP/NCRMP
-170.68273,-14.3006058,2004,Genus Tridacna,RAMP/NCRMP
-170.68041973,-14.24271,2004,Genus Tridacna,RAMP/NCRMP
-170.67438756,-14.29735732,2004,Genus Tridacna,RAMP/NCRMP
-170.67366213,-14.23777198,2012,Genus Tridacna,RAMP/NCRMP
-170.67079582,-14.23042369,2008,Genus Tridacna,RAMP/NCRMP
-170.6704315,-14.323091,2004,Genus Tridacna,RAMP/NCRMP
-170.67035145,-14.24831145,2004,Genus Tridacna,RAMP/NCRMP
-170.66969635,-14.23385189,2010,Genus Tridacna,RAMP/NCRMP
-170.6696,-14.23429318,2004,Genus Tridacna,RAMP/NCRMP
-170.66936777,-14.23489685,2008,Genus Tridacna,RAMP/NCRMP
-170.6692693,-14.23727506,2008,Genus Tridacna,RAMP/NCRMP
-170.66916949,-14.2357331,2010,Genus Tridacna,RAMP/NCRMP
-170.66406898,-14.24689908,2008,Genus Tridacna,RAMP/NCRMP
-170.66345134,-14.24686486,2010,Genus Tridacna,RAMP/NCRMP
-170.66233101,-14.24598747,2008,Genus Tridacna,RAMP/NCRMP
-170.66228732,-14.24619155,2006,Genus Tridacna,RAMP/NCRMP
-170.66221757,-14.24603877,2010,Genus Tridacna,RAMP/NCRMP
-170.66202095,-14.31905524,2002,Genus Tridacna,RAMP/NCRMP
-170.66104065,-14.24515,2006,Genus Tridacna,RAMP/NCRMP
-170.66079352,-14.24490169,2008,Genus Tridacna,RAMP/NCRMP
-170.66017645,-14.31806987,2002,Genus Tridacna,RAMP/NCRMP
-170.66009587,-14.31779862,2004,Genus Tridacna,RAMP/NCRMP
-170.65971508,-14.24595476,2006,Genus Tridacna,RAMP/NCRMP
-170.65949,-14.2477384,2006,Genus Tridacna,RAMP/NCRMP
-170.65944484,-14.24827018,2008,Genus Tridacna,RAMP/NCRMP
-170.65933304,-14.24740941,2012,Genus Tridacna,RAMP/NCRMP
-170.65902902,-14.24942197,2006,Genus Tridacna,RAMP/NCRMP
-170.65864824,-14.24942382,2010,Genus Tridacna,RAMP/NCRMP
-170.65851008,-14.31720002,2004,Genus Tridacna,RAMP/NCRMP
-170.65805972,-14.25075,2006,Genus Tridacna,RAMP/NCRMP
-170.65731693,-14.31669538,2010,Genus Tridacna,RAMP/NCRMP
-170.6570134,-14.25011002,2008,Genus Tridacna,RAMP/NCRMP
-170.65630461,-14.25013,2006,Genus Tridacna,RAMP/NCRMP
-170.65528714,-14.31782245,2008,Genus Tridacna,RAMP/NCRMP
